index=0,user_id=50644,Time Difference,Weight
http://www.elle.com/beauty/news/g29167/best-lip-stains/?src=nl&mag=bea&list=nl_bew_news&date=120116,2016-12-02,3,4
http://www.elle.com/beauty/news/g29167/best-lip-stains/?src=nl&mag=bea&list=nl_bew_news&date=120116,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/profile/orderConfirmation/orderConfirmation.jsp,2016-12-02,3,4
https://www.sephora.com/profile/orderConfirmation/orderConfirmation.jsp,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/custom-enhancer-drops-P409765?skuId=1826924&icid2=verymerry_deluxesamplebag_112616_us_bag2_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1105105,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1105105,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/24-7-glide-on-lip-pencil-P219001?skuId=1105105,2016-12-02,3,4
http://www.sephora.com/promotions-weekly-specials?icid2=HomePage_QuickLink_US_WeeklySpecials_10.22.13_Link,2016-12-02,3,4
http://www.sephora.com/,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/basket/basket.jsp,2016-12-02,3,4
https://www.sephora.com/checkout/confirm,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/perfect-8?icid2=bd_perfect8_us_100916_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
http://www.sephora.com/partyon?icid2=bd_partyon_101716_image,2016-12-02,3,4
http://www.sephora.com/holiday-deluxe-bag-2016?icid2=bd_verymerry_us_112616_banner_image,2016-12-02,3,4
