index=0	user_id=50406.0	Time Difference	Weight	
https://www.buzzfeed.com/essencegant/beauty-advice-not-about-makeup?utm_term=.lyd8B2ZDQ&utm_medium=email&utm_campaign=Health%20%20Beauty%20119&utm_content=Health%20%20Beauty%20119+CID_65007ab53d2b217487f1b3a47dde5455&utm_source=BuzzFeed%20Newsletters#.fyzO7zn8W	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.elle.com/beauty/makeup-skin-care/news/a39328/nyx-lipstick-vault/?mag=elm&list=nl_elm_news&src=nl&date=091816	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide-9	11/9/2016	3	4	
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.elle.com/beauty/makeup-skin-care/news/a39328/nyx-lipstick-vault/?mag=elm&list=nl_elm_news&src=nl&date=091816	11/9/2016	3	4	
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.refinery29.com/ole-henriksen-sugar-polishing-mask-review?utm_content=everywhere&utm_medium=editorial&utm_campaign=160918-emmys-2016-best-dressed-red-carpet-photos&utm_source=email	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.refinery29.com/ole-henriksen-sugar-polishing-mask-review?utm_content=everywhere&utm_medium=editorial&utm_campaign=160918-emmys-2016-best-dressed-red-carpet-photos&utm_source=email	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/global-beauty-tips?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+19+2016+Arms+Like+RHW	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/global-beauty-tips?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+19+2016+Arms+Like+RHW	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123996/sarah-hyland-ariel-winter-modern-family-kids?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email	11/9/2016	3	4	
http://www.refinery29.com/keds-new-fall-sneakers-colorful-collection?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/2016/09/122362/uber-hacks-spotify-tips?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.goodhousekeeping.com/beauty/makeup/g3024/ways-to-wear-eyeliner-trends-2016/?mag=bea&list=nl_bew_news&src=nl&date=092316	11/9/2016	3	4	
http://www.elle.com/beauty/makeup-skin-care/news/a39442/power-players/?mag=bea&list=nl_bew_news&src=nl&date=092316	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123971/kim-kardashian-app-makeup-routine?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/2016/09/122362/uber-hacks-spotify-tips?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123866/five-elements-personality-test?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email	11/9/2016	3	4	
http://www.refinery29.com/keds-new-fall-sneakers-colorful-collection?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123996/sarah-hyland-ariel-winter-modern-family-kids?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123866/five-elements-personality-test?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email	11/9/2016	3	4	
http://www.refinery29.com/2016/09/123971/kim-kardashian-app-makeup-routine?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide	11/9/2016	3	4	
http://www.elle.com/beauty/makeup-skin-care/news/a39442/power-players/?mag=bea&list=nl_bew_news&src=nl&date=092316	11/9/2016	3	4	
http://www.goodhousekeeping.com/beauty/makeup/g3024/ways-to-wear-eyeliner-trends-2016/?mag=bea&list=nl_bew_news&src=nl&date=092316	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/how-to-even-your-skin-tone?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.byrdie.com/best-fall-moisturizer?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.byrdie.com/best-celebrity-beauty-looks?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/best-celebrity-beauty-looks?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.byrdie.com/best-fall-moisturizer?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.byrdie.com/how-to-even-your-skin-tone?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+25+2016+Even+Skintone	11/9/2016	3	4	
http://www.refinery29.com/healthy-living-tips-to-improve-skin?utm_content=everywhere&utm_medium=editorial&utm_campaign=160926-new-target-fall-home-collection&utm_source=email#slide	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal/slide5	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal/slide5	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal/slide2	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal/slide1	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/unknown-beauty-brands?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/best-products-for-my-hair-type?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/blowout-hair-styles?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/drugstore-hair-moisturizing-masks-neutrogena-loreal?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/blowout-hair-styles?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/best-products-for-my-hair-type?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/unknown-beauty-brands?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.refinery29.com/healthy-living-tips-to-improve-skin?utm_content=everywhere&utm_medium=editorial&utm_campaign=160926-new-target-fall-home-collection&utm_source=email#slide	11/9/2016	3	4	
http://www.whowhatwear.com/loafers-trend-gucci?utm_source=newsletter&utm_medium=email&utm_campaign=Domaine+November+4+2016+Anna+Wintour+Hates	11/9/2016	3	4	
http://nymag.com/thecut/2016/11/candice-huffine-on-the-runners-body-new-running-club.html?utm_source=Sailthru&utm_medium=email&utm_campaign=The%20Cut%20-%20November%204%2C%202016&utm_term=Subscription%20List%20-%20The%20Cut%20%281%20Year%29	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands/slide10	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands/slide6	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands/slide4	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands/slide3	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+4+2016+Skincare+Brands	11/9/2016	3	4	
http://www.whowhatwear.com/loafers-trend-gucci?utm_source=newsletter&utm_medium=email&utm_campaign=Domaine+November+4+2016+Anna+Wintour+Hates	11/9/2016	3	4	
http://link.whowhatwear.com/click/8032553.237783/aHR0cDovL3d3dy53aG93aGF0d2Vhci5jb20vYW5uYS13aW50b3VyLWZhc2hpb24tbGlrZXMtZGlzbGlrZXM_dXRtX3NvdXJjZT1uZXdzbGV0dGVyJnV0bV9tZWRpdW09ZW1haWwmdXRtX2NhbXBhaWduPURvbWFpbmUrTm92ZW1iZXIrNCsyMDE2K0FubmErV2ludG91citIYXRlcw/540f7e973b35d055138ec094Dca078d2d	11/9/2016	3	4	
http://www.byrdie.com/dermatologist-recommended-skincare-brands?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+4+2016+Skincare+Brands	11/9/2016	3	4	
http://nymag.com/thecut/2016/11/candice-huffine-on-the-runners-body-new-running-club.html?utm_source=Sailthru&utm_medium=email&utm_campaign=The%20Cut%20-%20November%204%2C%202016&utm_term=Subscription%20List%20-%20The%20Cut%20%281%20Year%29	11/9/2016	3	4	
http://www.byrdie.com/top-subscription-boxes?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+5+2016+Overnight+Products	11/9/2016	3	4	
http://www.byrdie.com/overnight-treatments?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+5+2016+Overnight+Products	11/9/2016	3	4	
http://www.byrdie.com/top-subscription-boxes?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+5+2016+Overnight+Products	11/9/2016	3	4	
http://www.byrdie.com/overnight-treatments?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+5+2016+Overnight+Products	11/9/2016	3	4	
http://go.refinery29.com/?id=30283X879131&site=refinery29.com&xcust=desktop0slideshow&xs=1&isjs=1&url=http%3A%2F%2Fwww.publicdesire.com%2Fus%2Fchloe-perspex-heeled-ankle-boots-in-rust-velvet&xguid=4843eb5dfffd45f331bc041a6b13955b&xuuid=8df24cc430a347b9eee4b45ed75dc7ef&xsessid=156140fef750f334bf677888602374da&xcreo=0&xed=0&sref=http%3A%2F%2Fwww.refinery29.com%2F2016%2F11%2F128345%2Fpinterest-top-bootie-for-fall-photos%3Futm_source%3Demail%26utm_medium%3Deditorial%26utm_content%3Deverywhere%26utm_campaign%3D161108-pinterest-top-bootie-for-fall-photos%23slide-26&xtz=300	11/9/2016	3	4	
http://www.sephora.com/shopping-list	11/9/2016	3	4	
http://www.sephora.com/shopping-list	11/9/2016	3	4	
http://www.sephora.com/luna-mini-P387258?skuId=1633650&icid2=products%20grid:p387258	11/9/2016	3	4	
http://www.sephora.com/luna-mini-P387258?skuId=1633650&icid2=products%20grid:p387258	11/9/2016	3	4	
http://www.sephora.com/search/search.jsp?keyword=foreo&mode=all	11/9/2016	3	4	
http://www.sephora.com/luna-play-P409062?skuId=1816107&icid2=products%20grid:p409062	11/9/2016	3	4	
http://www.sephora.com/search/search.jsp?keyword=foreo&mode=all	11/9/2016	3	4	
http://www.sephora.com/	11/9/2016	3	4	
http://www.byrdie.com/beauty-products-horoscope/slide31	11/9/2016	3	4	
http://www.byrdie.com/beauty-products-horoscope/slide31	11/9/2016	3	4	
http://www.byrdie.com/beauty-products-horoscope/slide31	11/9/2016	3	4	
http://www.byrdie.com/beauty-products-horoscope/slide31	11/9/2016	3	4	
http://ship.sephora.com/tracking/sephora/ups?dzip=43607&country=US&lang=EN&tracking_numbers=1Z849EW11350100559	11/8/2016	4	3	
http://ship.sephora.com/tracking/sephora/ups?dzip=43607&country=US&lang=EN&tracking_numbers=1Z849EW11350100559	11/8/2016	4	3	
http://www.byrdie.com/best-way-to-burn-fat?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+8+2016+Burn+Calories	11/8/2016	4	3	
